eta,step,rv_full,rv_hollow,rho,rho_error,rms_radius,dimensionless_penalty,objective
0.0,0,0.6706081628799438,0.7140463590621948,0.9826020397741595,0.007397960225840494,12.88380241394043,0.0,0.7140463590621948
0.0,10,0.6651918292045593,0.719842791557312,0.9844137943643757,0.005586205635624286,13.112730979919434,0.0,0.719842791557312
0.0,20,0.664872944355011,0.7225569486618042,0.9851090129224462,0.0048909870775537545,13.392399787902832,0.0,0.7225569486618042
0.0,30,0.6645581126213074,0.724774956703186,0.9856692190585343,0.004330780941465662,13.699555397033691,0.0,0.724774956703186
0.0,40,0.664055347442627,0.7268720269203186,0.9862085531329202,0.003791446867079773,14.028831481933594,0.0,0.7268720269203186
0.0,50,0.663386881351471,0.7288864254951477,0.9867297583308561,0.003270241669143914,14.372783660888672,0.0,0.7288864254951477
0.0,60,0.6624734997749329,0.7307937145233154,0.9872357567409803,0.002764243259019694,14.724645614624023,0.0,0.7307937145233154
0.0,70,0.6614250540733337,0.7326002717018127,0.9877153370844357,0.002284662915564284,15.079818725585938,0.0,0.7326002717018127
0.0,80,0.6602697372436523,0.7342898845672607,0.9881608661500855,0.0018391338499145204,15.434638023376465,0.0,0.7342898845672607
0.0,90,0.6589897871017456,0.7358428835868835,0.9885765779847321,0.0014234220152679056,15.787124633789062,0.0,0.7358428835868835
0.0,100,0.6576171517372131,0.7372684478759766,0.9889617569748314,0.0010382430251686392,16.133623123168945,0.0,0.7372684478759766
0.0,110,0.656151533126831,0.7385755777359009,0.9893204582637998,0.0006795417362002176,16.473278045654297,0.0,0.7385755777359009
0.0,120,0.6546519994735718,0.7397744059562683,0.9896498193974611,0.0003501806025388854,16.80522346496582,0.0,0.7397744059562683
0.0,130,0.6531031727790833,0.7408654689788818,0.989955803822016,4.419617798401276e-05,17.128698348999023,0.0,0.7408654689788818
0.0,140,0.651543915271759,0.7418636679649353,0.9902372188482241,0.00023721884822414108,17.44305419921875,0.0,0.7418636679649353
0.0,150,0.649976372718811,0.7427798509597778,0.9904966883924139,0.0004966883924139021,17.747493743896484,0.0,0.7427798509597778
0.0,160,0.648415207862854,0.7436308264732361,0.9907374327155337,0.0007374327155337257,18.042037963867188,0.0,0.7436308264732361
0.0,170,0.6468901634216309,0.7444215416908264,0.9909567086323312,0.0009567086323312157,18.327457427978516,0.0,0.7444215416908264
0.0,180,0.6453693509101868,0.7451228499412537,0.9911625071607153,0.0011625071607153092,18.605331420898438,0.0,0.7451228499412537
0.0,190,0.64385986328125,0.7457623481750488,0.9913541723216038,0.0013541723216038415,18.873733520507812,0.0,0.7457623481750488
0.0,200,0.6423782706260681,0.7463501691818237,0.9915309288669908,0.0015309288669907994,19.134239196777344,0.0,0.7463501691818237
0.0,210,0.640899658203125,0.7468892931938171,0.9916980842639948,0.001698084263994759,19.386690139770508,0.0,0.7468892931938171
0.0,220,0.6394596099853516,0.7473767399787903,0.9918542669199895,0.0018542669199894668,19.63201141357422,0.0,0.7473767399787903
0.0,230,0.6380330324172974,0.7478235363960266,0.9920008484276012,0.002000848427601176,19.869977951049805,0.0,0.7478235363960266
0.0,240,0.6366640329360962,0.7482411861419678,0.9921365168286658,0.00213651682866578,20.100082397460938,0.0,0.7482411861419678
0.0,250,0.635338306427002,0.7486239671707153,0.9922622262745753,0.0022622262745752852,20.32184600830078,0.0,0.7486239671707153
0.0,260,0.6340306401252747,0.7489719390869141,0.9923825089844421,0.0023825089844421443,20.536989212036133,0.0,0.7489719390869141
0.0,270,0.6327242255210876,0.7492908239364624,0.9924959337311783,0.0024959337311782903,20.74559783935547,0.0,0.7492908239364624
0.0,280,0.6314877867698669,0.7495838403701782,0.9926014270944676,0.0026014270944676454,20.947954177856445,0.0,0.7495838403701782
0.0,290,0.6302874684333801,0.7498542070388794,0.9927013148183284,0.0027013148183283597,21.143983840942383,0.0,0.7498542070388794
0.0,300,0.6291086673736572,0.7501038908958435,0.9927953583649124,0.0027953583649124036,21.33397674560547,0.0,0.7501038908958435
0.0,310,0.6279638409614563,0.7503349184989929,0.9928861816505481,0.002886181650548103,21.518075942993164,0.0,0.7503349184989929
0.0,320,0.6268562078475952,0.7505490183830261,0.9929700873385912,0.0029700873385911652,21.69650650024414,0.0,0.7505490183830261
0.0,330,0.6257793307304382,0.7507471442222595,0.9930492222696736,0.003049222269673635,21.86945152282715,0.0,0.7507471442222595
0.0,340,0.624739408493042,0.7509313821792603,0.9931256736499658,0.0031256736499658544,22.037134170532227,0.0,0.7509313821792603
0.0,350,0.6237336993217468,0.7511032819747925,0.9931968175631394,0.003196817563139387,22.19976043701172,0.0,0.7511032819747925
0.0,360,0.6227607131004333,0.7512660622596741,0.9932654568289088,0.003265456828908775,22.357450485229492,0.0,0.7512660622596741
0.0,370,0.6217770576477051,0.7514176368713379,0.9933316510817359,0.0033316510817359424,22.510604858398438,0.0,0.7514176368713379
0.0,380,0.6208275556564331,0.7515568137168884,0.9933942076323806,0.0033942076323806303,22.659454345703125,0.0,0.7515568137168884
0.0,390,0.6199274659156799,0.751688539981842,0.9934525897706848,0.003452589770684855,22.804218292236328,0.0,0.751688539981842
0.0,400,0.6190539598464966,0.751813530921936,0.9935093617785149,0.003509361778514908,22.94485855102539,0.0,0.751813530921936
0.0,410,0.6182013154029846,0.7519305944442749,0.9935613033949225,0.0035613033949225548,23.081621170043945,0.0,0.7519305944442749
0.0,420,0.6173939108848572,0.7520388960838318,0.993612469763324,0.0036124697633239666,23.21462631225586,0.0,0.7520388960838318
0.0,430,0.6166282296180725,0.7521389722824097,0.9936604755052392,0.00366047550523918,23.34397315979004,0.0,0.7521389722824097
0.0,440,0.6158801317214966,0.7522332668304443,0.9937065133099081,0.0037065133099081216,23.46983528137207,0.0,0.7522332668304443
0.0,450,0.6151509284973145,0.7523206472396851,0.9937512391564128,0.0037512391564128444,23.592397689819336,0.0,0.7523206472396851
0.0,460,0.6144368648529053,0.7524061799049377,0.9937934007210514,0.0037934007210513876,23.711742401123047,0.0,0.7524061799049377
0.0,470,0.6137645840644836,0.7524978518486023,0.9938346081342978,0.0038346081342978122,23.827980041503906,0.0,0.7524978518486023
0.0,480,0.6131190061569214,0.7525743246078491,0.9938742054170701,0.0038742054170700646,23.94102668762207,0.0,0.7525743246078491
0.0,490,0.6124723553657532,0.7526437044143677,0.9939094493841159,0.0039094493841158595,24.051347732543945,0.0,0.7526437044143677
0.0,500,0.6118041276931763,0.7527084946632385,0.9939466612884078,0.003946661288407816,24.158803939819336,0.0,0.7527084946632385
100.0,0,0.6706081628799438,0.7140463590621948,0.9826020397741595,0.007397960225840494,12.88380241394043,0.0027364907751558968,0.7113098682870389
100.0,10,0.6646097302436829,0.7200173139572144,0.9845403983272153,0.0054596016727846974,13.13996410369873,0.0014903625212736734,0.7185269514359407
