eta,step,rho,rv,rms_radius
0.0,0,0.9563886323075561,0.7007971405982971,7.831401824951172
1.0,0,0.9563886323075561,0.7007971405982971,7.831401824951172
1.0,10,0.9566883277983036,0.698029637336731,7.839444637298584
1.0,20,0.9566336205305626,0.700034499168396,7.841944694519043
1.0,30,0.9566079988953432,0.7007154822349548,7.845198631286621
1.0,40,0.9566127768226569,0.7007737159729004,7.848859786987305
1.0,50,0.956640070732436,0.7007871866226196,7.852815628051758
1.0,60,0.9566607949921588,0.7007954120635986,7.856415271759033
1.0,70,0.9566825942855273,0.7007977962493896,7.860083103179932
1.0,80,0.956701885167056,0.7007986307144165,7.863712787628174
1.0,90,0.9567181301199223,0.7007996439933777,7.867302894592285
1.0,100,0.9567346139691544,0.700799822807312,7.870898246765137
1.0,110,0.9567515756111178,0.7007996439933777,7.874398231506348
1.0,120,0.9567675816676184,0.7007993459701538,7.8778395652771
1.0,130,0.9567822140700165,0.7007991671562195,7.8812174797058105
1.0,140,0.9567958908869517,0.7007988691329956,7.884509086608887
1.0,150,0.9568089107388814,0.7007988095283508,7.887689113616943
1.0,160,0.9568216916944453,0.700798511505127,7.890770435333252
1.0,170,0.9568335170645466,0.7007984519004822,7.893815517425537
1.0,180,0.9568446854696422,0.7007981538772583,7.8966755867004395
1.0,190,0.9568555552542807,0.700797975063324,7.899461269378662
1.0,200,0.9568657083498222,0.7007977962493896,7.9021430015563965
1.0,210,0.9568755628249065,0.700797438621521,7.904775619506836
1.0,220,0.956884581162711,0.700797438621521,7.907318115234375
1.0,230,0.9568931217077841,0.7007972002029419,7.909724712371826
1.0,240,0.9569014233564915,0.7007971405982971,7.912045478820801
1.0,250,0.9569091277642848,0.7007967829704285,7.914280891418457
1.0,260,0.9569165932757123,0.7007967829704285,7.916438579559326
1.0,270,0.956923939338957,0.7007964849472046,7.918533802032471
1.0,280,0.9569305687131047,0.7007963061332703,7.920497417449951
1.0,290,0.9569377356040751,0.7007959485054016,7.9224324226379395
1.0,300,0.9569429913241201,0.7007962465286255,7.92429256439209
1.0,310,0.9569492026296279,0.7007960677146912,7.92602014541626
1.0,320,0.9569545777978556,0.7007959485054016,7.927734375
1.0,330,0.9569589973806208,0.7007956504821777,7.929376125335693
1.0,340,0.95696485034158,0.7007956504821777,7.930959701538086
1.0,350,0.956968971303888,0.7007955312728882,7.932441711425781
1.0,360,0.9569740478516587,0.7007949948310852,7.933907508850098
1.0,370,0.9569778104694182,0.70079505443573,7.935287952423096
1.0,380,0.9569819314317263,0.7007952332496643,7.936655044555664
1.0,390,0.9569855746013028,0.70079505443573,7.9379682540893555
1.0,400,0.9569890385986053,0.7007952332496643,7.939238548278809
1.0,410,0.9569925623199991,0.7007951140403748,7.940499305725098
1.0,420,0.956995249904113,0.7007948160171509,7.941690921783447
1.0,430,0.9569988930736896,0.7007948160171509,7.9428839683532715
1.0,440,0.9570017001059864,0.7007945775985718,7.944059371948242
1.0,450,0.9570048654828317,0.7007938027381897,7.945226669311523
1.0,460,0.9570070752742142,0.700793981552124,7.946371555328369
1.0,470,0.9570090461692311,0.700794517993927,7.947544574737549
1.0,480,0.9570116740292536,0.7007945775985718,7.948685169219971
1.0,490,0.957014003268819,0.7007946968078613,7.949877738952637
1.0,500,0.9570156755433787,0.7007946968078613,7.951077938079834
1.0,510,0.957017706162487,0.7007946968078613,7.9523539543151855
1.0,520,0.9570197367815954,0.7007948160171509,7.953678607940674
1.0,530,0.9570218868488864,0.7007946372032166,7.955131530761719
1.0,540,0.9570239174679948,0.7007943987846375,7.95661735534668
1.0,550,0.9570257091907374,0.7007940411567688,7.958233833312988
1.0,560,0.9570265453280172,0.7007948756217957,7.960026264190674
1.0,570,0.9570293523603141,0.7007956504821777,7.96195650100708
1.0,580,0.9570374151126557,0.7007982134819031,7.964156150817871
1.0,590,0.9570787441839187,0.7008064389228821,7.966327667236328
1.0,600,0.9570809539753012,0.7008111476898193,7.966299533843994
1.0,610,0.9570622603346867,0.7008139491081238,7.96503210067749
1.0,620,0.9570530628246079,0.7008150219917297,7.963563442230225
1.0,630,0.9570434472458892,0.7008160948753357,7.962141036987305
1.0,640,0.957040580489501,0.7008166313171387,7.961093902587891
1.0,650,0.9570374748367472,0.7008178234100342,7.960315704345703
1.0,660,0.957045418140906,0.7008222341537476,7.959910869598389
1.0,670,0.9570659632283547,0.7008349895477295,7.9593353271484375
1.0,680,0.9570677549510973,0.70085209608078,7.9565911293029785
1.0,690,0.9570163922324758,0.7008854150772095,7.952335834503174
1.0,700,0.9570106587196995,0.7008956670761108,7.950577259063721
1.0,710,0.9570095239619625,0.7009195685386658,7.949212074279785
1.0,720,0.9569932192850047,0.7009716033935547,7.949017524719238
1.0,730,0.9569248949244198,0.7013838887214661,7.953100681304932
1.0,740,0.9570006250723408,0.7015339136123657,7.966128349304199
1.0,750,0.9571027532686697,0.7015688419342041,7.977751731872559
1.0,760,0.9571356612430423,0.7015807628631592,7.986052989959717
1.0,770,0.9571176245674333,0.7015881538391113,7.991648197174072
1.0,780,0.9571229997356612,0.7015901207923889,7.9973859786987305
1.0,790,0.9571445004085725,0.7015908360481262,8.00373649597168
1.0,800,0.9571605661891646,0.7015910744667053,8.009405136108398
1.0,810,0.9571743027301913,0.7015902400016785,8.014573097229004
1.0,820,0.9571852919630126,0.7015914916992188,8.01941967010498
1.0,830,0.9571975354017538,0.7015916705131531,8.024064064025879
1.0,840,0.9572101371850436,0.701591432094574,8.02849292755127
1.0,850,0.9572220820033276,0.7015913128852844,8.032611846923828
1.0,860,0.9572324739952347,0.7015905976295471,8.036462783813477
1.0,870,0.9572417909534963,0.7015901803970337,8.040051460266113
1.0,880,0.9572509287394836,0.7015897631645203,8.043413162231445
1.0,890,0.9572594095604653,0.7015905976295471,8.046640396118164
1.0,900,0.9572674723128071,0.7015904188156128,8.049633979797363
1.0,910,0.957275833685606,0.7015904784202576,8.0524263381958
1.0,920,0.9572824033356622,0.7015904188156128,8.055072784423828
1.0,930,0.9572888535375356,0.7015900015830994,8.057583808898926
1.0,940,0.9572950051189518,0.7015901803970337,8.059945106506348
1.0,950,0.957300977528094,0.7015885710716248,8.062217712402344
1.0,960,0.9573056957313161,0.7015894651412964,8.064366340637207
1.0,970,0.9573101750381726,0.7015894055366516,8.06645679473877
1.0,980,0.9573147140691206,0.7015892267227173,8.068448066711426
1.0,990,0.957320029513257,0.7015895247459412,8.070389747619629
1.0,1000,0.9573233740623766,0.7015896439552307,8.072365760803223
10.0,0,0.9573233740623766,0.7015896439552307,8.072365760803223
10.0,10,0.95876744286883,0.7007316946983337,8.1641206741333
10.0,20,0.9590740663541822,0.7011290788650513,8.214669227600098
10.0,30,0.959396397275578,0.7012256383895874,8.26096248626709
10.0,40,0.9595732403102738,0.7012502551078796,8.305800437927246
10.0,50,0.9597358690112116,0.7012486457824707,8.347469329833984
