section,dataset,method,variant,init,index_name,k,value,run_id
5.3.3,singlecell,unsupsup_a1.0,framework,pca,trustworthiness,15,0.8642701005213309,
5.3.3,singlecell,unsupsup_a1.0,framework,pca,ari,,0.3340851753826218,
5.3.3,singlecell,unsupsup_a1.0,framework,pca,rv_final,,0.4460888206958771,
5.3.3,mnist,globallocal_a0.0_nuinf,framework,pca,trustworthiness,15,0.9386376159163716,
5.3.3,mnist,globallocal_a0.0_nuinf,framework,pca,rv_final,,0.6568542718887329,
5.3.3,mnist,globallocal_a0.0_nuinf,framework,pca,ari,,0.37779248642460517,
5.3.3,mnist,globallocal_a0.0_nu1.0,framework,pca,trustworthiness,15,0.937334125779801,
5.3.3,mnist,globallocal_a0.0_nu1.0,framework,pca,rv_final,,0.6370652914047241,
5.3.3,mnist,globallocal_a0.0_nu1.0,framework,pca,ari,,0.2909331425972722,
5.3.3,mnist,globallocal_a0.0_nu0.5,framework,pca,trustworthiness,15,0.9299190524363514,
5.3.3,mnist,globallocal_a0.0_nu0.5,framework,pca,rv_final,,0.6216915249824524,
5.3.3,mnist,globallocal_a0.0_nu0.5,framework,pca,ari,,0.3422733979801743,
5.3.3,mnist,globallocal_a0.25_nuinf,framework,pca,trustworthiness,15,0.9501454223571068,
5.3.3,mnist,globallocal_a0.25_nuinf,framework,pca,rv_final,,0.6542425155639648,
5.3.3,mnist,globallocal_a0.25_nuinf,framework,pca,ari,,0.3711996399970065,
5.3.3,mnist,globallocal_a0.25_nu1.0,framework,pca,trustworthiness,15,0.9508179564997471,
5.3.3,mnist,globallocal_a0.25_nu1.0,framework,pca,rv_final,,0.663901686668396,
5.3.3,mnist,globallocal_a0.25_nu1.0,framework,pca,ari,,0.3747810740196914,
5.3.3,mnist,globallocal_a0.25_nu0.5,framework,pca,trustworthiness,15,0.9487224582701063,
5.3.3,mnist,globallocal_a0.25_nu0.5,framework,pca,rv_final,,0.6589981913566589,
5.3.3,mnist,globallocal_a0.25_nu0.5,framework,pca,ari,,0.3604165522409072,
5.3.3,mnist,globallocal_a0.5_nuinf,framework,pca,trustworthiness,15,0.9578107064575957,
5.3.3,mnist,globallocal_a0.5_nuinf,framework,pca,rv_final,,0.5958636999130249,
5.3.3,mnist,globallocal_a0.5_nuinf,framework,pca,ari,,0.39715274339465817,
5.3.3,mnist,globallocal_a0.5_nu1.0,framework,pca,trustworthiness,15,0.9550667172483561,
5.3.3,mnist,globallocal_a0.5_nu1.0,framework,pca,rv_final,,0.6516754031181335,
5.3.3,mnist,globallocal_a0.5_nu1.0,framework,pca,ari,,0.383951614441757,
5.3.3,mnist,globallocal_a0.5_nu0.5,framework,pca,trustworthiness,15,0.9521910470409711,
5.3.3,mnist,globallocal_a0.5_nu0.5,framework,pca,rv_final,,0.6618539094924927,
5.3.3,mnist,globallocal_a0.5_nu0.5,framework,pca,ari,,0.34029097091577504,
5.3.3,mnist,globallocal_a0.75_nuinf,framework,pca,trustworthiness,15,0.9184952284606306,
5.3.3,mnist,globallocal_a0.75_nuinf,framework,pca,rv_final,,0.6676381826400757,
5.3.3,mnist,globallocal_a0.75_nuinf,framework,pca,ari,,0.3314365850542264,
5.3.3,mnist,globallocal_a0.75_nu1.0,framework,pca,trustworthiness,15,0.9394990389479009,
5.3.3,mnist,globallocal_a0.75_nu1.0,framework,pca,rv_final,,0.6777377128601074,
5.3.3,mnist,globallocal_a0.75_nu1.0,framework,pca,ari,,0.3351537568405839,
5.3.3,mnist,globallocal_a0.75_nu0.5,framework,pca,trustworthiness,15,0.9429778283594672,
5.3.3,mnist,globallocal_a0.75_nu0.5,framework,pca,rv_final,,0.6763169169425964,
