configuration,step,rv_full,rv_hollow,rho,rms_radius
hollow_rv,0,0.6706081628799438,0.7140463590621948,0.9826020397741595,12.88380241394043
hollow_rv,10,0.6651918292045593,0.719842791557312,0.9844137943643757,13.112730979919434
hollow_rv,20,0.664872944355011,0.7225569486618042,0.9851090129224462,13.392399787902832
hollow_rv,30,0.6645581126213074,0.724774956703186,0.9856692190585343,13.699555397033691
hollow_rv,40,0.664055347442627,0.7268720269203186,0.9862085531329202,14.028831481933594
hollow_rv,50,0.663386881351471,0.7288864254951477,0.9867297583308561,14.372783660888672
hollow_rv,60,0.6624734997749329,0.7307937145233154,0.9872357567409803,14.724645614624023
hollow_rv,70,0.6614250540733337,0.7326002717018127,0.9877153370844357,15.079818725585938
hollow_rv,80,0.6602697372436523,0.7342898845672607,0.9881608661500855,15.434638023376465
hollow_rv,90,0.6589897871017456,0.7358428835868835,0.9885765779847321,15.787124633789062
hollow_rv,100,0.6576171517372131,0.7372684478759766,0.9889617569748314,16.133623123168945
hollow_rv,110,0.656151533126831,0.7385755777359009,0.9893204582637998,16.473278045654297
hollow_rv,120,0.6546519994735718,0.7397744059562683,0.9896498193974611,16.80522346496582
hollow_rv,130,0.6531031727790833,0.7408654689788818,0.989955803822016,17.128698348999023
hollow_rv,140,0.651543915271759,0.7418636679649353,0.9902372188482241,17.44305419921875
hollow_rv,150,0.649976372718811,0.7427798509597778,0.9904966883924139,17.747493743896484
hollow_rv,160,0.648415207862854,0.7436308264732361,0.9907374327155337,18.042037963867188
hollow_rv,170,0.6468901634216309,0.7444215416908264,0.9909567086323312,18.327457427978516
hollow_rv,180,0.6453693509101868,0.7451228499412537,0.9911625071607153,18.605331420898438
hollow_rv,190,0.64385986328125,0.7457623481750488,0.9913541723216038,18.873733520507812
hollow_rv,200,0.6423782706260681,0.7463501691818237,0.9915309288669908,19.134239196777344
hollow_rv,210,0.640899658203125,0.7468892931938171,0.9916980842639948,19.386690139770508
hollow_rv,220,0.6394596099853516,0.7473767399787903,0.9918542669199895,19.63201141357422
hollow_rv,230,0.6380330324172974,0.7478235363960266,0.9920008484276012,19.869977951049805
hollow_rv,240,0.6366640329360962,0.7482411861419678,0.9921365168286658,20.100082397460938
hollow_rv,250,0.635338306427002,0.7486239671707153,0.9922622262745753,20.32184600830078
