configuration,hollow_objective,eta,rv_full,rv_hollow,rho,rms_radius,objective_rv,ari,trustworthiness_15,rho_target,trace_target
tsne,False,0.0,0.5448086857795715,0.7419115900993347,0.9965294298379047,35.50046157836914,0.5448086857795715,0.5300603088336315,0.9516758893947058,0.99,0.9895049768686295
common_start,False,0.0,0.6706081628799438,0.7140463590621948,0.9826020397741595,12.88380241394043,0.6706081628799438,0.41648993143788,0.9550471421345473,0.99,0.9895049768686295
hollow_rv,True,0.0,0.6118041276931763,0.7527084946632385,0.9939466612884078,24.158803939819336,0.7527084946632385,0.3860004717077224,0.9526018040802563,0.99,0.9895049768686295
regularized_eta100,False,100.0,0.6734592318534851,0.7248690724372864,0.9863058765749146,16.800643920898438,0.6734592318534851,0.4334193843171519,0.9564687236553701,0.99,0.9895049768686295
regularized_eta1000,False,1000.0,0.6718774437904358,0.7300750613212585,0.988389802849728,20.038978576660156,0.6718774437904358,0.4198038218191024,0.9550172820772214,0.99,0.9895049768686295
hollow_regularized_eta100000,True,100000.0,0.6516479253768921,0.7396151423454285,0.9900047040808612,17.131542205810547,0.7396151423454285,0.3966039573394981,0.9499393525543753,0.99,0.9895049768686295
