dataset,key,beta,rv_final
mnist,dial_b0.0,0.0,0.7480682134628296
mnist,dial_b0.25,0.25,0.788175106048584
mnist,dial_b0.5,0.5,0.8503159880638123
mnist,dial_b0.75,0.75,0.9070322513580322
mnist,dial_b1.0,1.0,0.8636972308158875
singlecell,dial_b0.0,0.0,0.5389400720596313
singlecell,dial_b0.25,0.25,0.671782374382019
singlecell,dial_b0.5,0.5,0.8136590123176575
singlecell,dial_b0.75,0.75,0.9123837351799011
singlecell,dial_b1.0,1.0,0.9024867415428162
