seed,eta,step,rv,trace,rho,abs_rho_error,rms_radius,penalty,objective
0,0.0,0,0.08203464429078267,0.036571844325444976,0.03719170609367286,0.6128082939063272,0.14004047277417855,0.0,0.08203464429078267
0,0.0,25,0.9853802395567518,0.24907747968214214,0.2532991318801446,0.39670086811985544,0.44589403156254037,0.0,0.9853802395567518
0,0.0,50,0.9932014051759906,0.30616902075036656,0.31135832618681347,0.33864167381318655,0.528609499657204,0.0,0.9932014051759906
0,0.0,75,0.994496611117086,0.3215392321194307,0.32698904961298036,0.32301095038701966,0.5530357754645403,0.0,0.994496611117086
0,0.0,100,0.9950845633947619,0.33402547584327746,0.3396869245863839,0.31031307541361614,0.5732954189865386,0.0,0.9950845633947619
0,0.0,125,0.9955207777328087,0.34569104302558834,0.35155021324636104,0.298449786753639,0.5926175376924564,0.0,0.9955207777328087
0,0.0,150,0.9959038520620641,0.35657211897601016,0.3626157142128917,0.28738428578710834,0.6110334905572932,0.0,0.9959038520620641
0,0.0,175,0.9963309725491744,0.3669225157673208,0.37314154145829237,0.27685845854170765,0.6289731158189655,0.0,0.9963309725491744
0,0.0,200,0.9967515160514538,0.3765567065182274,0.3829390235778584,0.2670609764221416,0.6462511437048623,0.0,0.9967515160514538
0,0.0,225,0.9969260672264922,0.38461564625402545,0.39113455551256826,0.25886544448743176,0.6609413300040806,0.0,0.9969260672264922
0,0.0,250,0.9970196188486588,0.3910086611750424,0.3976359266186872,0.25236407338131284,0.6725162752141216,0.0,0.9970196188486588
0,0.0,275,0.99708268482014,0.3961900234444623,0.4029051085875888,0.2470948914124112,0.6820286395254997,0.0,0.99708268482014
0,0.0,300,0.9971250896440597,0.4004893398038995,0.40727729471583,0.24272270528417,0.690035731949586,0.0,0.9971250896440597
0,0.0,325,0.9971544324549548,0.40406895316798586,0.410917579492867,0.23908242050713302,0.6967677587655673,0.0,0.9971544324549548
0,0.0,350,0.9971774858072219,0.40706207025790175,0.41396142738091707,0.23603857261908295,0.7024412120915805,0.0,0.9971774858072219
0,0.0,375,0.997201726630477,0.40960814368996495,0.4165506545999644,0.23344934540003565,0.7072972403741153,0.0,0.997201726630477
0,0.0,400,0.9972357395634774,0.4118036341778361,0.4187833567910198,0.23121664320898022,0.7115098584567134,0.0,0.9972357395634774
0,0.0,425,0.9972801955833904,0.4136050158505028,0.4206152703564435,0.2293847296435565,0.7149933051507541,0.0,0.9972801955833904
0,0.0,450,0.997318759668952,0.41494059739355715,0.4219734888748039,0.22802651112519612,0.7175875529586118,0.0,0.997318759668952
0,0.0,475,0.9973374786059042,0.4158867412289377,0.42293566904637736,0.22706433095362266,0.7194168386552003,0.0,0.9973374786059042
0,0.0,500,0.9973428819207358,0.4165780508419035,0.4236386957714273,0.2263613042285727,0.7207448804823429,0.0,0.9973428819207358
0,0.0,525,0.9973442546939071,0.4171001041747871,0.42416959746588523,0.2258304025341148,0.7217506439198053,0.0,0.9973442546939071
0,0.0,550,0.9973446391467744,0.4174850121794458,0.42456102933502965,0.22543897066497037,0.722498044852575,0.0,0.9973446391467744
0,0.0,575,0.9973447691307383,0.41775759793817313,0.42483823519136255,0.22516176480863748,0.7230305969812515,0.0,0.9973447691307383
0,0.0,600,0.9973448217852996,0.4179462393702151,0.425030073935812,0.22496992606418803,0.7234004883708517,0.0,0.9973448217852996
0,0.0,625,0.9973448448120575,0.4180752721819279,0.4251612937443335,0.22483870625566654,0.7236541068437855,0.0,0.9973448448120575
0,0.0,650,0.9973448549628583,0.4181625689534812,0.4252500701221843,0.22474992987781572,0.7238259484858031,0.0,0.9973448549628583
0,0.0,675,0.99734485935622,0.41822089427643017,0.425309384009929,0.224690615990071,0.7239408456083509,0.0,0.99734485935622
0,0.0,700,0.9973448612084135,0.4182593391471292,0.425348480488606,0.224651519511394,0.7240166051261145,0.0,0.9973448612084135
0,0.0,725,0.997344861967331,0.4182843196777087,0.42537388441800883,0.2246261155819912,0.7240658401554397,0.0,0.997344861967331
0,0.0,750,0.9973448622692913,0.4183003121588317,0.42539014795813396,0.22460985204186606,0.7240973630983307,0.0,0.9973448622692913
0,0.0,775,0.9973448623858906,0.41831039652052115,0.425400403241208,0.22459959675879204,0.7241172413770887,0.0,0.9973448623858906
0,0.0,800,0.9973448624295607,0.4183166580701175,0.42540677091876355,0.22459322908123647,0.72412958442898,0.0,0.9973448624295607
0,0.0,825,0.9973448624454149,0.4183204853233061,0.42541066304065034,0.22458933695934968,0.72413712898841,0.0,0.9973448624454149
0,0.0,850,0.9973448624509906,0.41832278744848184,0.4254130041848968,0.22458699581510322,0.724141667142343,0.0,0.9973448624509906
0,0.0,875,0.9973448624528889,0.4183241497222287,0.4254143895480292,0.22458561045197084,0.7241443525914558,0.0,0.9973448624528889
0,0.0,900,0.997344862453514,0.4183249424802717,0.4254151957426492,0.22458480425735083,0.7241459153598051,0.0,0.997344862453514
0,0.0,925,0.9973448624537133,0.4183253959956784,0.42541565694475775,0.22458434305524227,0.7241468093790112,0.0,0.9973448624537133
0,0.0,950,0.9973448624537743,0.41832565093586904,0.4254159162059685,0.2245840837940315,0.7241473119455866,0.0,0.9973448624537743
0,0.0,975,0.9973448624537925,0.4183257916971487,0.42541605935303256,0.22458394064696746,0.7241475894301153,0.0,0.9973448624537925
0,0.0,1000,0.9973448624537977,0.41832586799510674,0.42541613694417635,0.22458386305582367,0.7241477398373155,0.0,0.9973448624537977
