eta,rv_mean,rv_std,rho_mean,rho_std,abs_rho_error_mean,abs_rho_error_std,rms_radius_mean,rms_radius_std,gradient_norm_mean,gradient_norm_std
0.0,0.9973448624537996,7.850462293418876e-17,0.4254162213143115,5.549091372767657e-14,0.2245837786856885,5.5490924139812364e-14,0.7241479033853477,1.0723038951629236e-13,1.4330060916813607e-15,2.1078364456524276e-15
1.0,0.9916140846229479,1.088172703447366e-08,0.5757567559670781,1.465703871394859e-07,0.07424324403292189,1.4657038713948586e-07,1.1190761754911236,6.832799603614698e-07,1.0639277802267885e-08,1.2061010336795064e-08
10.0,0.9629576226955647,0.014351174085762643,0.6489473149299646,0.006398396289553418,0.005274769152610492,0.0009310797190291186,2.043963086563387,0.4331785915982442,0.00032553331984808213,0.00014182809312068685
