dataset,n,perplexity,gamma,rv_gradient,rv_max,gap
singlecell,2638,30,0.5,0.3769671618938446,0.3769669532775879,-2.086162567138672e-07
mnist,2000,30,0.5,0.3027153015136719,0.3027152717113495,-2.9802322387695312e-08
swissroll,2000,30,0.5,0.2142937183380127,0.21429400146007538,2.8312206268310547e-07
