dataset,method,method_key,hp_name,hp_value,lambda,variant,index_name,value
singlecell,UMAP,umap,n_neighbors,5,0.75,framework,procrustes,0.4233586258832296
singlecell,UMAP,umap,n_neighbors,5,0.75,framework,knn_overlap,0.15835228708617638
singlecell,UMAP,umap,n_neighbors,5,0.75,framework,rv_final,0.4334869682788849
singlecell,UMAP,umap,n_neighbors,5,0.75,framework,trustworthiness,0.8482615361793197
singlecell,UMAP,umap,n_neighbors,5,0.75,framework,ari,0.2975760797517243
singlecell,UMAP,umap,n_neighbors,5,1.0,framework,procrustes,0.4411242668312251
singlecell,UMAP,umap,n_neighbors,5,1.0,framework,knn_overlap,0.15643164013141267
singlecell,UMAP,umap,n_neighbors,5,1.0,framework,rv_final,0.4470449686050415
singlecell,UMAP,umap,n_neighbors,5,1.0,framework,trustworthiness,0.8449455837635074
singlecell,UMAP,umap,n_neighbors,5,1.0,framework,ari,0.2979959921924511
singlecell,UMAP,umap,n_neighbors,15,,reference,trustworthiness,0.8619888273123457
singlecell,UMAP,umap,n_neighbors,15,,reference,ari,0.5033709479434417
singlecell,UMAP,umap,n_neighbors,15,0.25,framework,procrustes,0.416429440931299
singlecell,UMAP,umap,n_neighbors,15,0.25,framework,knn_overlap,0.14066211776598433
singlecell,UMAP,umap,n_neighbors,15,0.25,framework,rv_final,0.3896549940109253
singlecell,UMAP,umap,n_neighbors,15,0.25,framework,trustworthiness,0.8783150415726227
singlecell,UMAP,umap,n_neighbors,15,0.25,framework,ari,0.3520550942063377
singlecell,UMAP,umap,n_neighbors,15,0.5,framework,procrustes,0.42167004230821215
singlecell,UMAP,umap,n_neighbors,15,0.5,framework,knn_overlap,0.14356835986858732
singlecell,UMAP,umap,n_neighbors,15,0.5,framework,rv_final,0.41333046555519104
singlecell,UMAP,umap,n_neighbors,15,0.5,framework,trustworthiness,0.8749881493744174
singlecell,UMAP,umap,n_neighbors,15,0.5,framework,ari,0.32916262717149686
singlecell,UMAP,umap,n_neighbors,15,0.75,framework,procrustes,0.4355643638349455
singlecell,UMAP,umap,n_neighbors,15,0.75,framework,knn_overlap,0.1394996209249431
singlecell,UMAP,umap,n_neighbors,15,0.75,framework,rv_final,0.43558424711227417
singlecell,UMAP,umap,n_neighbors,15,0.75,framework,trustworthiness,0.8685585725323519
singlecell,UMAP,umap,n_neighbors,15,0.75,framework,ari,0.3256706949396511
singlecell,UMAP,umap,n_neighbors,15,1.0,framework,procrustes,0.44843959282807455
singlecell,UMAP,umap,n_neighbors,15,1.0,framework,knn_overlap,0.13568359868587312
singlecell,UMAP,umap,n_neighbors,15,1.0,framework,rv_final,0.44519567489624023
singlecell,UMAP,umap,n_neighbors,15,1.0,framework,trustworthiness,0.857293128666627
singlecell,UMAP,umap,n_neighbors,15,1.0,framework,ari,0.3103001553290557
singlecell,UMAP,umap,n_neighbors,30,,reference,trustworthiness,0.8605537346745198
singlecell,UMAP,umap,n_neighbors,30,,reference,ari,0.5206469761033049
singlecell,UMAP,umap,n_neighbors,30,0.25,framework,procrustes,0.4390275947284193
singlecell,UMAP,umap,n_neighbors,30,0.25,framework,knn_overlap,0.1417993429365681
singlecell,UMAP,umap,n_neighbors,30,0.25,framework,rv_final,0.4070628881454468
singlecell,UMAP,umap,n_neighbors,30,0.25,framework,trustworthiness,0.889176863519933
singlecell,UMAP,umap,n_neighbors,30,0.25,framework,ari,0.3953493653488179
singlecell,UMAP,umap,n_neighbors,30,0.5,framework,procrustes,0.46948062879483893
singlecell,UMAP,umap,n_neighbors,30,0.5,framework,knn_overlap,0.1400050543340915
singlecell,UMAP,umap,n_neighbors,30,0.5,framework,rv_final,0.4245966672897339
singlecell,UMAP,umap,n_neighbors,30,0.5,framework,trustworthiness,0.8821735376134748
singlecell,UMAP,umap,n_neighbors,30,0.5,framework,ari,0.36518312020711907
singlecell,UMAP,umap,n_neighbors,30,0.75,framework,procrustes,0.48737909183584216
singlecell,UMAP,umap,n_neighbors,30,0.75,framework,knn_overlap,0.13535506696992672
singlecell,UMAP,umap,n_neighbors,30,0.75,framework,rv_final,0.4442925453186035
singlecell,UMAP,umap,n_neighbors,30,0.75,framework,trustworthiness,0.8741262356179793
singlecell,UMAP,umap,n_neighbors,30,0.75,framework,ari,0.34819054567485164
singlecell,UMAP,umap,n_neighbors,30,1.0,framework,procrustes,0.4976298158322294
singlecell,UMAP,umap,n_neighbors,30,1.0,framework,knn_overlap,0.12974475612838007
singlecell,UMAP,umap,n_neighbors,30,1.0,framework,rv_final,0.45666128396987915
singlecell,UMAP,umap,n_neighbors,30,1.0,framework,trustworthiness,0.8655096493809407
singlecell,UMAP,umap,n_neighbors,30,1.0,framework,ari,0.3294431183409745
singlecell,UMAP,umap,n_neighbors,50,,reference,trustworthiness,0.8612587901199849
singlecell,UMAP,umap,n_neighbors,50,,reference,ari,0.5136933726109251
singlecell,UMAP,umap,n_neighbors,50,0.25,framework,procrustes,0.3560129271957838
singlecell,UMAP,umap,n_neighbors,50,0.25,framework,knn_overlap,0.14217841799342937
singlecell,UMAP,umap,n_neighbors,50,0.25,framework,rv_final,0.4378094971179962
singlecell,UMAP,umap,n_neighbors,50,0.25,framework,trustworthiness,0.8935118006137682
singlecell,UMAP,umap,n_neighbors,50,0.25,framework,ari,0.4415964476932611
singlecell,UMAP,umap,n_neighbors,50,0.5,framework,procrustes,0.4102629300494406
singlecell,UMAP,umap,n_neighbors,50,0.5,framework,knn_overlap,0.1387161991407632
singlecell,UMAP,umap,n_neighbors,50,0.5,framework,rv_final,0.44390302896499634
singlecell,UMAP,umap,n_neighbors,50,0.5,framework,trustworthiness,0.8878126282005749
singlecell,UMAP,umap,n_neighbors,50,0.5,framework,ari,0.38959850340044094
singlecell,UMAP,umap,n_neighbors,50,0.75,framework,procrustes,0.45055619042687955
singlecell,UMAP,umap,n_neighbors,50,0.75,framework,knn_overlap,0.13042709123073035
singlecell,UMAP,umap,n_neighbors,50,0.75,framework,rv_final,0.456514447927475
singlecell,UMAP,umap,n_neighbors,50,0.75,framework,trustworthiness,0.8765486532808958
singlecell,UMAP,umap,n_neighbors,50,0.75,framework,ari,0.34754573420735896
singlecell,UMAP,umap,n_neighbors,50,1.0,framework,procrustes,0.46406473324888975
singlecell,UMAP,umap,n_neighbors,50,1.0,framework,knn_overlap,0.12362901187768512
singlecell,UMAP,umap,n_neighbors,50,1.0,framework,rv_final,0.46398115158081055
singlecell,UMAP,umap,n_neighbors,50,1.0,framework,trustworthiness,0.8688950191615314
singlecell,UMAP,umap,n_neighbors,50,1.0,framework,ari,0.3339055559867951
singlecell,UMAP,umap,n_neighbors,100,,reference,trustworthiness,0.8604504059171466
singlecell,UMAP,umap,n_neighbors,100,,reference,ari,0.5135481116144273
singlecell,UMAP,umap,n_neighbors,100,0.25,framework,procrustes,0.4195539943319171
singlecell,UMAP,umap,n_neighbors,100,0.25,framework,knn_overlap,0.14346727318675764
singlecell,UMAP,umap,n_neighbors,100,0.25,framework,rv_final,0.5076366662979126
singlecell,UMAP,umap,n_neighbors,100,0.25,framework,trustworthiness,0.8957383652466694
singlecell,UMAP,umap,n_neighbors,100,0.25,framework,ari,0.39978373107549053
singlecell,UMAP,umap,n_neighbors,100,0.5,framework,procrustes,0.514083851589856
singlecell,UMAP,umap,n_neighbors,100,0.5,framework,knn_overlap,0.14660096032347736
singlecell,UMAP,umap,n_neighbors,100,0.5,framework,rv_final,0.4854904115200043
singlecell,UMAP,umap,n_neighbors,100,0.5,framework,trustworthiness,0.8938630140163546
singlecell,UMAP,umap,n_neighbors,100,0.5,framework,ari,0.4328768697382125
singlecell,UMAP,umap,n_neighbors,100,0.75,framework,procrustes,0.5752505800170424
singlecell,UMAP,umap,n_neighbors,100,0.75,framework,knn_overlap,0.1321202931513773
singlecell,UMAP,umap,n_neighbors,100,0.75,framework,rv_final,0.47183114290237427
singlecell,UMAP,umap,n_neighbors,100,0.75,framework,trustworthiness,0.8803214672451608
singlecell,UMAP,umap,n_neighbors,100,0.75,framework,ari,0.3628004457940459
singlecell,UMAP,umap,n_neighbors,100,1.0,framework,procrustes,0.5964304773619356
singlecell,UMAP,umap,n_neighbors,100,1.0,framework,knn_overlap,0.12620672226434168
singlecell,UMAP,umap,n_neighbors,100,1.0,framework,rv_final,0.4720929265022278
singlecell,UMAP,umap,n_neighbors,100,1.0,framework,trustworthiness,0.8703592201249474
singlecell,UMAP,umap,n_neighbors,100,1.0,framework,ari,0.32568176884620337
mnist,t-SNE,tsne,perplexity,5,,reference,trustworthiness,0.9434585061541055
mnist,t-SNE,tsne,perplexity,5,,reference,ari,0.4630934687297281
mnist,t-SNE,tsne,perplexity,5,0.25,framework,procrustes,0.34655471551202977
mnist,t-SNE,tsne,perplexity,5,0.25,framework,knn_overlap,0.47973333333333334
mnist,t-SNE,tsne,perplexity,5,0.25,framework,rv_final,0.6831915378570557
mnist,t-SNE,tsne,perplexity,5,0.25,framework,trustworthiness,0.953536958354409
mnist,t-SNE,tsne,perplexity,5,0.25,framework,ari,0.3997295370804964
mnist,t-SNE,tsne,perplexity,5,0.5,framework,procrustes,0.3385653010130535
mnist,t-SNE,tsne,perplexity,5,0.5,framework,knn_overlap,0.5287333333333334
mnist,t-SNE,tsne,perplexity,5,0.5,framework,rv_final,0.7740871906280518
mnist,t-SNE,tsne,perplexity,5,0.5,framework,trustworthiness,0.9272746754341595
mnist,t-SNE,tsne,perplexity,5,0.5,framework,ari,0.28838863740311016
mnist,t-SNE,tsne,perplexity,5,0.75,framework,procrustes,0.3471061893640128
mnist,t-SNE,tsne,perplexity,5,0.75,framework,knn_overlap,0.5229
mnist,t-SNE,tsne,perplexity,5,0.75,framework,rv_final,0.8055362701416016
mnist,t-SNE,tsne,perplexity,5,0.75,framework,trustworthiness,0.8873250042151408
mnist,t-SNE,tsne,perplexity,5,0.75,framework,ari,0.24515346018852555
mnist,t-SNE,tsne,perplexity,5,1.0,framework,procrustes,0.37916262993873096
mnist,t-SNE,tsne,perplexity,5,1.0,framework,knn_overlap,0.47179999999999994
mnist,t-SNE,tsne,perplexity,5,1.0,framework,rv_final,0.8215547204017639
mnist,t-SNE,tsne,perplexity,5,1.0,framework,trustworthiness,0.865133754847412
mnist,t-SNE,tsne,perplexity,5,1.0,framework,ari,0.19786811094924475
mnist,t-SNE,tsne,perplexity,15,,reference,trustworthiness,0.9505015511718091
mnist,t-SNE,tsne,perplexity,15,,reference,ari,0.5095098662140752
mnist,t-SNE,tsne,perplexity,15,0.25,framework,procrustes,0.3258430476944165
mnist,t-SNE,tsne,perplexity,15,0.25,framework,knn_overlap,0.5123000000000001
mnist,t-SNE,tsne,perplexity,15,0.25,framework,rv_final,0.6827735304832458
mnist,t-SNE,tsne,perplexity,15,0.25,framework,trustworthiness,0.9546499747091552
mnist,t-SNE,tsne,perplexity,15,0.25,framework,ari,0.3887227095848922
mnist,t-SNE,tsne,perplexity,15,0.5,framework,procrustes,0.29394589774173663
mnist,t-SNE,tsne,perplexity,15,0.5,framework,knn_overlap,0.5534333333333334
mnist,t-SNE,tsne,perplexity,15,0.5,framework,rv_final,0.7506056427955627
mnist,t-SNE,tsne,perplexity,15,0.5,framework,trustworthiness,0.9447850446804923
mnist,t-SNE,tsne,perplexity,15,0.5,framework,ari,0.3629887735969175
mnist,t-SNE,tsne,perplexity,15,0.75,framework,procrustes,0.2968905143321473
mnist,t-SNE,tsne,perplexity,15,0.75,framework,knn_overlap,0.5563333333333332
mnist,t-SNE,tsne,perplexity,15,0.75,framework,rv_final,0.7932139039039612
mnist,t-SNE,tsne,perplexity,15,0.75,framework,trustworthiness,0.9181694486595853
mnist,t-SNE,tsne,perplexity,15,0.75,framework,ari,0.32243028699894505
mnist,t-SNE,tsne,perplexity,15,1.0,framework,procrustes,0.329085024445543
mnist,t-SNE,tsne,perplexity,15,1.0,framework,knn_overlap,0.5079666666666667
mnist,t-SNE,tsne,perplexity,15,1.0,framework,rv_final,0.8106264472007751
mnist,t-SNE,tsne,perplexity,15,1.0,framework,trustworthiness,0.891365048052605
mnist,t-SNE,tsne,perplexity,15,1.0,framework,ari,0.25374337944059194
mnist,t-SNE,tsne,perplexity,30,,reference,trustworthiness,0.9516758893947058
mnist,t-SNE,tsne,perplexity,30,,reference,ari,0.5265641199897582
mnist,t-SNE,tsne,perplexity,30,0.25,framework,procrustes,0.3492732942392395
mnist,t-SNE,tsne,perplexity,30,0.25,framework,knn_overlap,0.5028666666666666
mnist,t-SNE,tsne,perplexity,30,0.25,framework,rv_final,0.6850829720497131
mnist,t-SNE,tsne,perplexity,30,0.25,framework,trustworthiness,0.9514211431461811
mnist,t-SNE,tsne,perplexity,30,0.25,framework,ari,0.37582645223906413
mnist,t-SNE,tsne,perplexity,30,0.5,framework,procrustes,0.25370330314439093
mnist,t-SNE,tsne,perplexity,30,0.5,framework,knn_overlap,0.5671666666666667
mnist,t-SNE,tsne,perplexity,30,0.5,framework,rv_final,0.7368233799934387
mnist,t-SNE,tsne,perplexity,30,0.5,framework,trustworthiness,0.9499836789748778
mnist,t-SNE,tsne,perplexity,30,0.5,framework,ari,0.3982400467711225
mnist,t-SNE,tsne,perplexity,30,0.75,framework,procrustes,0.26851079770394165
mnist,t-SNE,tsne,perplexity,30,0.75,framework,knn_overlap,0.5529666666666666
mnist,t-SNE,tsne,perplexity,30,0.75,framework,rv_final,0.7816036939620972
mnist,t-SNE,tsne,perplexity,30,0.75,framework,trustworthiness,0.9301018040802563
mnist,t-SNE,tsne,perplexity,30,0.75,framework,ari,0.358387048268164
mnist,t-SNE,tsne,perplexity,30,1.0,framework,procrustes,0.30158146793911284
mnist,t-SNE,tsne,perplexity,30,1.0,framework,knn_overlap,0.5060666666666666
mnist,t-SNE,tsne,perplexity,30,1.0,framework,rv_final,0.8045803308486938
mnist,t-SNE,tsne,perplexity,30,1.0,framework,trustworthiness,0.9064282920249537
mnist,t-SNE,tsne,perplexity,30,1.0,framework,ari,0.27034855482811265
mnist,t-SNE,tsne,perplexity,50,,reference,trustworthiness,0.9513696847074692
mnist,t-SNE,tsne,perplexity,50,,reference,ari,0.4495481690632028
mnist,t-SNE,tsne,perplexity,50,0.25,framework,procrustes,0.4051578109366846
mnist,t-SNE,tsne,perplexity,50,0.25,framework,knn_overlap,0.4577333333333333
mnist,t-SNE,tsne,perplexity,50,0.25,framework,rv_final,0.691882848739624
mnist,t-SNE,tsne,perplexity,50,0.25,framework,trustworthiness,0.9470779463834093
mnist,t-SNE,tsne,perplexity,50,0.25,framework,ari,0.41437667551600676
mnist,t-SNE,tsne,perplexity,50,0.5,framework,procrustes,0.4554237171391711
mnist,t-SNE,tsne,perplexity,50,0.5,framework,knn_overlap,0.5355333333333333
mnist,t-SNE,tsne,perplexity,50,0.5,framework,rv_final,0.7273668050765991
mnist,t-SNE,tsne,perplexity,50,0.5,framework,trustworthiness,0.9532317821615242
mnist,t-SNE,tsne,perplexity,50,0.5,framework,ari,0.40963974558396093
mnist,t-SNE,tsne,perplexity,50,0.75,framework,procrustes,0.4471506385738662
mnist,t-SNE,tsne,perplexity,50,0.75,framework,knn_overlap,0.5238666666666667
mnist,t-SNE,tsne,perplexity,50,0.75,framework,rv_final,0.7705642580986023
mnist,t-SNE,tsne,perplexity,50,0.75,framework,trustworthiness,0.9368020569887034
mnist,t-SNE,tsne,perplexity,50,0.75,framework,ari,0.3905247207435034
mnist,t-SNE,tsne,perplexity,50,1.0,framework,procrustes,0.4732628034226435
mnist,t-SNE,tsne,perplexity,50,1.0,framework,knn_overlap,0.4961333333333333
mnist,t-SNE,tsne,perplexity,50,1.0,framework,rv_final,0.7976358532905579
mnist,t-SNE,tsne,perplexity,50,1.0,framework,trustworthiness,0.9153004046535155
mnist,t-SNE,tsne,perplexity,50,1.0,framework,ari,0.3006943942998588
mnist,t-SNE,tsne,perplexity,100,,reference,trustworthiness,0.9484013319844883
mnist,t-SNE,tsne,perplexity,100,,reference,ari,0.46938931512952037
mnist,t-SNE,tsne,perplexity,100,0.25,framework,procrustes,0.6439963457813063
mnist,t-SNE,tsne,perplexity,100,0.25,framework,knn_overlap,0.47279999999999994
mnist,t-SNE,tsne,perplexity,100,0.25,framework,rv_final,0.6923481225967407
mnist,t-SNE,tsne,perplexity,100,0.25,framework,trustworthiness,0.9435064575956837
mnist,t-SNE,tsne,perplexity,100,0.25,framework,ari,0.3970068407290031
mnist,t-SNE,tsne,perplexity,100,0.5,framework,procrustes,0.6912502943291268
mnist,t-SNE,tsne,perplexity,100,0.5,framework,knn_overlap,0.5576333333333334
mnist,t-SNE,tsne,perplexity,100,0.5,framework,rv_final,0.7214464545249939
mnist,t-SNE,tsne,perplexity,100,0.5,framework,trustworthiness,0.9536301466868994
mnist,t-SNE,tsne,perplexity,100,0.5,framework,ari,0.45813758036884805
mnist,t-SNE,tsne,perplexity,100,0.75,framework,procrustes,0.7050587598133236
mnist,t-SNE,tsne,perplexity,100,0.75,framework,knn_overlap,0.5292333333333333
mnist,t-SNE,tsne,perplexity,100,0.75,framework,rv_final,0.7510726451873779
mnist,t-SNE,tsne,perplexity,100,0.75,framework,trustworthiness,0.9436801888383072
mnist,t-SNE,tsne,perplexity,100,0.75,framework,ari,0.3940266256823744
mnist,t-SNE,tsne,perplexity,100,1.0,framework,procrustes,0.6996684751208978
