hp_value,lambda,rv_final,procrustes,knn_overlap,trustworthiness_fw,ari_fw,trustworthiness_ref,ari_ref
5,0.25,0.4027,0.4065,0.1409,0.856,0.3013,0.8592,0.5318
5,0.5,0.4187,0.4209,0.1539,0.8526,0.2997,0.8592,0.5318
5,0.75,0.4335,0.4234,0.1584,0.8483,0.2976,0.8592,0.5318
5,1.0,0.447,0.4411,0.1564,0.8449,0.298,0.8592,0.5318
15,0.25,0.3897,0.4164,0.1407,0.8783,0.3521,0.862,0.5034
15,0.5,0.4133,0.4217,0.1436,0.875,0.3292,0.862,0.5034
15,0.75,0.4356,0.4356,0.1395,0.8686,0.3257,0.862,0.5034
15,1.0,0.4452,0.4484,0.1357,0.8573,0.3103,0.862,0.5034
30,0.25,0.4071,0.439,0.1418,0.8892,0.3953,0.8606,0.5206
30,0.5,0.4246,0.4695,0.14,0.8822,0.3652,0.8606,0.5206
30,0.75,0.4443,0.4874,0.1354,0.8741,0.3482,0.8606,0.5206
30,1.0,0.4567,0.4976,0.1297,0.8655,0.3294,0.8606,0.5206
50,0.25,0.4378,0.356,0.1422,0.8935,0.4416,0.8613,0.5137
50,0.5,0.4439,0.4103,0.1387,0.8878,0.3896,0.8613,0.5137
50,0.75,0.4565,0.4506,0.1304,0.8765,0.3475,0.8613,0.5137
50,1.0,0.464,0.4641,0.1236,0.8689,0.3339,0.8613,0.5137
100,0.25,0.5076,0.4196,0.1435,0.8957,0.3998,0.8605,0.5135
100,0.5,0.4855,0.5141,0.1466,0.8939,0.4329,0.8605,0.5135
100,0.75,0.4718,0.5753,0.1321,0.8803,0.3628,0.8605,0.5135
100,1.0,0.4721,0.5964,0.1262,0.8704,0.3257,0.8605,0.5135
