hp_value,lambda,rv_final,procrustes,knn_overlap,trustworthiness_fw,ari_fw,trustworthiness_ref,ari_ref
5,0.25,0.8226,0.1431,0.7119,0.985,,0.9967,
5,0.5,0.8348,0.1452,0.7119,0.9836,,0.9967,
5,0.75,0.8368,0.1484,0.6732,0.9731,,0.9967,
5,1.0,0.8343,0.1453,0.6441,0.969,,0.9967,
15,0.25,0.8499,0.3693,0.824,0.999,,0.9989,
15,0.5,0.8782,0.369,0.8225,0.9983,,0.9989,
15,0.75,0.8878,0.3819,0.8077,0.996,,0.9989,
15,1.0,0.8887,0.3836,0.7857,0.9938,,0.9989,
30,0.25,0.868,0.7792,0.8034,0.9995,,0.9988,
30,0.5,0.9033,0.7789,0.809,0.9994,,0.9988,
30,0.75,0.9114,0.7728,0.7982,0.9987,,0.9988,
30,1.0,0.9071,0.784,0.7817,0.9976,,0.9988,
50,0.25,0.8835,0.8333,0.7874,0.9997,,0.9989,
50,0.5,0.9161,0.8238,0.7957,0.9995,,0.9989,
50,0.75,0.9229,0.8284,0.7965,0.9992,,0.9989,
50,1.0,0.9158,0.8336,0.7856,0.9981,,0.9989,
100,0.25,0.9,0.8878,0.7675,0.9997,,0.9986,
100,0.5,0.9309,0.8506,0.7828,0.9997,,0.9986,
100,0.75,0.9313,0.8572,0.7846,0.9983,,0.9986,
100,1.0,0.9231,0.8595,0.7749,0.9992,,0.9986,
